ldiss,theta
0.10266455987843193,0.97657459010467
0.11856678604191354,0.9259555513094633
0.1424006838540596,0.8832305748683466
0.1688171758716357,0.8325228007690929
0.24034825188995418,0.7574548225279178
0.2924679865712814,0.7182418400343183
0.3333633640306181,0.6891324656020135
0.4163782632415524,0.6573680613420959
0.4871966179147165,0.6233050290943629
0.855087269664978,0.5441731481536957
1.0136105627646468,0.522144914145531
1.2333713961888795,0.4980607504555745
1.4620241925466146,0.4778991552013031
1.802338658699542,0.4585768655075507
2.1364714070093536,0.4400135855324097
3.7008398987303246,0.38873160608618734
4.503218731776747,0.37080118987642613
5.479007788655055,0.36005122076709556
6.579714901251968,0.34960702029463114
7.799780587275558,0.33347001445757535
9.366720131856319,0.3237968694113504
11.547783394819763,0.30703926848054314
13.868146165892343,0.29636879823594287
24.33530806663499,0.2681221915940869
29.999822659200365,0.2572815474897412
36.979127282738965,0.25131384812774893
44.40955677036805,0.2425799915374376
53.33122961515504,0.23554334253836487
65.74289327101539,0.2273652103753231
79.98852503850995,0.22077362152717062
94.8142802233669,0.21309753532371667
119.97030977921008,0.2069300343493407
140.35616836987748,0.20092073768927096
173.0151353253816,0.19509909020046617
227.67738763616782,0.18834104728852646
259.478239363146,0.18504876615681326
315.70380635191833,0.17968398153848875
379.1144634676678,0.17551026431924666
461.24811680244136,0.17143638077858595
568.5551216060343,0.16745987803217194
691.7536378096634,0.16260501627593527
946.7232214729847,0.15605163016466744
