tau_T,A_model_kTe_10,A_model_kTe_12p2106,A_model_kTe_14p9098,A_model_kTe_18p2056,A_model_kTe_22p2301,A_model_kTe_27p1442,A_model_kTe_33p1445,A_model_kTe_40p4713,A_model_kTe_49p4177,A_model_kTe_60p3418,A_model_kTe_73p6806,A_model_kTe_89p9681,A_model_kTe_109p856,A_model_kTe_134p14,A_model_kTe_163p793,A_model_kTe_200
0.03,0.06036422203479529,0.0615384003941597,0.0630078826656115,0.06485871541201822,0.06720520198851397,0.07019943676055256,0.07404830864569042,0.07904236665278049,0.08560190331541838,0.09434929641596194,0.1062259585090593,0.1226921638153801,0.1460860425557584,0.1802989231661659,0.2320942315457481,0.3137359257529696
0.04418889799794311,0.08678542326062938,0.08852308961995389,0.09070054085904694,0.09344744875631454,0.09693701785156843,0.1014013567654913,0.1071589358546652,0.1146616770608721,0.1245717791717195,0.1378863304868408,0.1561473882530558,0.1818186321844643,0.2189996636184383,0.2748467830234518,0.3624868994557787,0.5070240930636155
0.06508862354242069,0.1237169316751053,0.1262934477542016,0.1295278425507685,0.1336173187350003,0.1388273151069419,0.1455170810352344,0.1541855299390102,0.1655510388984778,0.180685499166737,0.2012412366997181,0.2298543605856062,0.270911330775332,0.3320934512536092,0.4276231195690174,0.5851882148217998,0.860438997796407
0.09587315155141828,0.1745320411339343,0.1783623736007072,0.1831828000663996,0.1892969189478934,0.197117745339699,0.2072119616813986,0.2203798500403292,0.2377973410070252,0.2612640295048489,0.2936463386596983,0.3397172329735605,0.407860850104536,0.5137225975882717,0.6882389974794655,0.9951342925964348,1.567360044529071
0.1412176304882321,0.2431155005341257,0.2488304377224636,0.2560478892723573,0.2652431098957299,0.277072168823629,0.2924523564474397,0.3127094218163973,0.3398471217257397,0.3770420561160782,0.4295883293723941,0.5068226502335196,0.6263045633695219,0.8232429104597037,1.171762496079719,1.831113935484183,3.13889029756438
0.2080083823051903,0.3333821056325147,0.3419536288737831,0.3528327341904299,0.3667812141471203,0.3848723267857567,0.4086465221202188,0.4404033865565952,0.4837590721598931,0.5447371411745605,0.6340181031370856,0.7718824260968519,0.9995820713740861,1.405745780402182,2.185780649831335,3.766544372460133,7.043031772822834
0.3063887062800404,0.4481503840639077,0.4611105366655284,0.4776802663112956,0.4991250152942944,0.5272802093446127,0.5648807577055538,0.6162032418069506,0.6883663647695868,0.7940823740054396,0.957812023615719,1.230189182687061,1.722272316532514,2.68452463636422,4.677727925387687,8.90652680093242,17.79565497053315
0.4512993096510154,0.587581424807646,0.6074377477104701,0.633110013872667,0.6668221991981514,0.7119418573185667,0.7737725813790184,0.8611952632473666,0.990258272768574,1.19243589001891,1.534380448437197,2.165613381311523,3.430381664128765,6.111599574959926,11.91644060662274,24.31879163174782,49.80657773887184
0.6647473053570288,0.7484860288839121,0.7796069608474511,0.8205787110718351,0.875686776014525,0.9518638417426621,1.060985436633657,1.225037549762912,1.488384552041207,1.947744791551385,2.825295531117705,4.639841434547958,8.578584680960224,17.22798007704973,35.81170107467845,74.02596862570134,148.3655724833762
0.9791483623609764,0.9268652400956205,0.9777242552347373,1.046823932193794,1.143820830807901,1.286038397884982,1.507040824108957,1.877518089144869,2.556970024100239,3.918853182981061,6.836823673880783,13.28747956860326,27.47544505766982,57.6493664588207,118.7106660861035,235.0041902488211,443.194418137222
1.442249570307408,1.128947175209428,1.21953763605706,1.350315950468641,1.549940301197967,1.877907266903746,2.466763981537454,3.62530357837975,6.078760311693537,11.48738091205812,23.44406730179438,49.21655787257608,102.27582152336,205.6042126102761,394.3088673447521,718.6936418892188,1242.87173276897
2.124380638329711,1.415057992935059,1.613972857270483,1.940678743363459,2.528200343525295,3.687408643665306,6.147291076563728,11.56166545554228,23.47017132371612,48.90950611621598,100.828270065707,200.980923376266,382.8901738811673,694.5070531466693,1197.432924355098,1965.48645776043,3080.003146390127
3.129134644531897,2.216069766474986,3.007341130732281,4.61888078153569,8.079909834122599,15.62990148886382,31.78479686073562,64.9305983740075,129.2466129277037,247.001869046005,450.0618732874227,781.8061040489994,1295.278545480822,2054.91948587064,3128.260832367208,4592.870431363162,6518.659595871021
4.609100387635,14.69644302144573,28.6779985580081,56.08300427054509,106.8158169657152,195.1995450480648,340.1490853878485,564.826107971674,896.2349568553253,1365.132689395874,2006.204011782027,2858.374772829163,3965.140961783497,5366.478940031962,7120.213598412503,9287.617224400354,11917.75653568811
6.789035563049437,110702.2902109836,56064.38185254944,34357.00486463695,23994.4692843197,18485.9290476979,15353.3838149782,13580.77745251064,12616.60557711368,12237.06037112473,12304.086597657,12745.19547253636,13552.80958784085,14718.24203087409,16313.89832821419,18368.91065777221,20957.04312423572
10,,,,,,,,,,,303948.5778390648,125085.7345244653,76839.11033208964,57600.74819968065,48873.7578335881,45313.1173741434
