tau_T,effective_albedo_ireflect_xi100_kTe_10,effective_albedo_ireflect_xi100_kTe_12p2106,effective_albedo_ireflect_xi100_kTe_14p9098,effective_albedo_ireflect_xi100_kTe_18p2056,effective_albedo_ireflect_xi100_kTe_22p2301,effective_albedo_ireflect_xi100_kTe_27p1442,effective_albedo_ireflect_xi100_kTe_33p1445,effective_albedo_ireflect_xi100_kTe_40p4713,effective_albedo_ireflect_xi100_kTe_49p4177,effective_albedo_ireflect_xi100_kTe_60p3418,effective_albedo_ireflect_xi100_kTe_73p6806,effective_albedo_ireflect_xi100_kTe_89p9681,effective_albedo_ireflect_xi100_kTe_109p856,effective_albedo_ireflect_xi100_kTe_134p14,effective_albedo_ireflect_xi100_kTe_163p793,effective_albedo_ireflect_xi100_kTe_200
0.03,8.547302481681615e-09,1.879800288842459e-08,4.289015893941649e-08,1.034050620616188e-07,2.702474598148797e-07,7.918370132651094e-07,2.632839185437e-06,9.512119748633718e-06,3.477657439441507e-05,0.0001210374755924272,0.0003832013246604943,0.00106483264247225,0.002558679321189205,0.00539736346408566,0.01026913436271124,0.01801629933765438
0.04418889799794311,9.747889496183483e-09,2.162942637471833e-08,4.987958076404003e-08,1.217859626462769e-07,3.230006006340388e-07,9.610587643222343e-07,3.221021759623423e-06,1.157994929869923e-05,4.172709244207057e-05,0.0001425952977450734,0.0004436560038294257,0.001219553409527204,0.002943101360982495,0.00635348589704151,0.01254810986037845,0.02287460009163653
0.06508862354242069,1.168155144026174e-08,2.624317391935792e-08,6.142587313438186e-08,1.52543872670605e-07,4.12643656721638e-07,1.251826760510659e-06,4.228452639817447e-06,1.50753868446142e-05,5.332941628079995e-05,0.0001785761872056981,0.000547259871008351,0.001502928440353397,0.003706939013364156,0.008332376972780057,0.01715561393308369,0.03192311255218012
0.09587315155141828,1.490596300831216e-08,3.406661321507946e-08,8.13427710016894e-08,2.065416491008607e-07,5.734879429631825e-07,1.780303244136469e-06,6.050729912113055e-06,2.132028974223813e-05,7.397719437667171e-05,0.0002439362237702178,0.0007462630557355099,0.002092757528157893,0.005379233283347988,0.01258708374475007,0.0262444671966887,0.04745054803743233
0.1412176304882321,2.056905839372942e-08,4.811539923759413e-08,1.178591937611012e-07,3.081362823733125e-07,8.851394484246393e-07,2.818209137160835e-06,9.615931761022618e-06,3.350887999546861e-05,0.0001151049490390599,0.0003812831409016397,0.00119653869720199,0.003496810587323287,0.009286819041805623,0.02164265878694942,0.0428039061374149,0.07063685234970767
0.2080083823051903,3.132088304419133e-08,7.550663256037359e-08,1.910655666170671e-07,5.199488397358257e-07,1.558701364641628e-06,5.094490766686786e-06,1.748962709120992e-05,6.115160756052859e-05,0.0002141121516802437,0.0007368735175852353,0.002412536466497551,0.007181507648739257,0.01848654377932504,0.03951756217374244,0.06888698265513242,0.09912787489558227
0.3063887062800404,5.40931272372614e-08,1.354067602410943e-07,3.583575438680736e-07,1.031454187797513e-06,3.251266958325797e-06,1.095907419195515e-05,3.862585739629314e-05,0.000141078556779045,0.0005238947329505052,0.001884259616538538,0.006145724238051807,0.01706565812872709,0.03853949052801565,0.06955278769981346,0.1019680916364126,0.1265867034628148
0.4512993096510154,1.096269234159632e-07,2.887726637357329e-07,8.178264998906886e-07,2.532587086614074e-06,8.473322780294321e-06,3.027159948866021e-05,0.0001154513615314126,0.0004589469434402691,0.00177641503613296,0.006155976920593488,0.01779810713804863,0.04101391781665956,0.07429838704301088,0.1083901940170135,0.1335785385032278,0.1461863997487987
0.6647473053570288,2.724737852855583e-07,7.784242329165797e-07,2.426704928404377e-06,8.228676378891514e-06,3.037441281804629e-05,0.0001226931864814367,0.0005210450229528705,0.002120682288691699,0.007514989224472944,0.02161540937394609,0.04851281771926617,0.08480159266098518,0.1196507313867467,0.1437725405887514,0.1546907816615485,0.1546147844166657
0.9791483623609764,8.978958891231423e-07,2.900082791948749e-06,1.02689521696407e-05,4.042751412161031e-05,0.0001765696238019139,0.0007947241464129767,0.003285388169690048,0.0113240488240426,0.03060463950617385,0.06337215478472873,0.1024952456173292,0.1361204234693066,0.1570355692895614,0.1647137877943353,0.1620933907906822,0.1527828908436908
1.442249570307408,4.497579978779821e-06,1.738936258558186e-05,7.619984094715322e-05,0.0003628817033016375,0.001670766534492432,0.006600939199584578,0.02059817667360318,0.04877194650973132,0.08824968967428658,0.1276960009795115,0.1569589565996323,0.1724186277336059,0.1755306600066965,0.1696697407337173,0.1582165038356051,0.1439270976080568
2.124380638329711,4.571204628547868e-05,0.000228926410344561,0.001134953161629839,0.004881776908541664,0.01657123368545717,0.04231328837949781,0.08148137951658789,0.1239857060247226,0.1586883584896946,0.1802268475004151,0.1885951027887035,0.1864479086298437,0.1770604989931641,0.1633923596326649,0.147732680255389,0.1316841928650842
3.129134644531897,0.001329346286135045,0.005765702564613038,0.01909306673720615,0.04685369479324775,0.08734781836182551,0.1308936397439255,0.1675585994198858,0.1920779620450736,0.2037865216295381,0.2045286273556114,0.1971367131295146,0.1844038507933787,0.168676725019263,0.1517916609150348,0.1349610926810614,0.1190166960362812
4.609100387635,0.04303771382736762,0.0788371205228298,0.1200200955881758,0.1596361658777113,0.1921136217590065,0.2143432294950155,0.2255920790950103,0.2269139897416529,0.2203039404296662,0.2080581152109377,0.1923122308350157,0.1747970035451172,0.1568876734027479,0.1394708834628846,0.1231169187799873,0.1081753611364027
6.789035563049437,0.1978146189078793,0.2243539952468925,0.2445329785425824,0.2570770398227238,0.261798305027205,0.2591630654423963,0.2503489546835458,0.2367810350811453,0.2200428166486926,0.2015309359884935,0.1824467303791648,0.1636357425239524,0.1457140281090311,0.1289959007268376,0.1137021887845523,0.09990985666578696
10,,,,,,,,,,,0.1698972357788028,0.151734753314148,0.1350029287419164,0.1197243864844519,0.1058346148096477,0.09328585781744765
