tau_T,eta_kTe_10,eta_kTe_12p2106,eta_kTe_14p9098,eta_kTe_18p2056,eta_kTe_22p2301,eta_kTe_27p1442,eta_kTe_33p1445,eta_kTe_40p4713,eta_kTe_49p4177,eta_kTe_60p3418,eta_kTe_73p6806,eta_kTe_89p9681,eta_kTe_109p856,eta_kTe_134p14,eta_kTe_163p793,eta_kTe_200
0.03,0.233924494402869,0.2428065960636959,0.2529456443380496,0.2648236936240183,0.2790312047279835,0.296336874481103,0.3178089035058201,0.344983552993961,0.3800909945188365,0.4263847829487304,0.4886777863332315,0.5742587336247642,0.5985266852118202,0.6060355057892125,0.6106063197876138,0.6110388560530811
0.04418889799794311,0.3367208876104255,0.34966956831552,0.3644852191853489,0.3818849898891735,0.4027532238890639,0.4282482200897186,0.45998798959719,0.5003139821214674,0.5526566648697043,0.5679893314775246,0.5774913839793526,0.5865257506430518,0.5942637373532275,0.5995709304794342,0.6011359136412623,0.5978308882994868
0.06508862354242069,0.4810312060832685,0.4982636918656147,0.5068092273208187,0.5152761377182226,0.5237239999398158,0.5321716538618102,0.5406537275086286,0.5492355644091229,0.5579579128699939,0.5667311499557648,0.5752274076026798,0.5827951649161922,0.5884241164668468,0.5908091269174203,0.5886487884388287,0.5813188194328088
0.09587315155141828,0.4912155635937557,0.4998680959969452,0.5082791665711724,0.5165803607445439,0.5248196785900656,0.5329986445609675,0.5411248970508252,0.549221328871817,0.5572635344432711,0.5650655580462161,0.5721629646220981,0.5777249139661131,0.580553245341236,0.5792959284644243,0.5730818958330948,0.5624596984355935
0.1412176304882321,0.4939335008520183,0.5023999808539693,0.5105933605966967,0.5186336907711937,0.5265527262986424,0.5343282404225046,0.5419311559616334,0.5493269522314638,0.5564038633956853,0.5628488631721956,0.5680250381739426,0.5709065298776227,0.5702048625009665,0.564921425682036,0.5553471225929384,0.5435747069581132
0.2080083823051903,0.4981711136934548,0.5063430475757156,0.5141987174884861,0.5218411540857177,0.5292791332729422,0.5364575540598688,0.5432970215267251,0.5496849013662457,0.55539197030612,0.5599400682581532,0.5624943805513068,0.561909263871639,0.5571896694584713,0.5484812408444441,0.5377250086305514,0.5276272291934816
0.3063887062800404,0.5048210091527683,0.5125503424110774,0.519901444180313,0.5269516700398859,0.5336759447917415,0.5399714251829463,0.5456863840943303,0.5505971274152023,0.5543121631046506,0.5561497257517901,0.5551359274544357,0.5503989643167253,0.5421253655432042,0.5322062261507197,0.5231907608337979,0.5165238265758861
0.4512993096510154,0.5152435588940064,0.5223212678114546,0.5289224926814079,0.5350833283700495,0.5407241469638359,0.5456652026100052,0.5496396160357232,0.5522531023619169,0.5528957395337701,0.5507426481866295,0.5451580429868993,0.5366230079986921,0.5271871558502195,0.5191607316330822,0.5135589339660935,0.5101559717162987
0.6647473053570288,0.5310528675404459,0.5371364705378325,0.5425664562473465,0.5473047417406441,0.5511708480553558,0.5538419634648147,0.5548475863492671,0.5535489538210681,0.5492425425731158,0.5417053293234904,0.5320848706198426,0.5227650503841705,0.5156380977613912,0.5110689785584628,0.5084826541505298,0.5071993273404432
0.9791483623609764,0.5535221832728791,0.5579389950585555,0.5613363146737016,0.5635208567799288,0.564096726969849,0.5624596896835169,0.557881511899578,0.5498929643398311,0.539147408080372,0.5279147132579345,0.5187341837467058,0.5126062087207741,0.5090716754771983,0.5072683316278864,0.5065358679433632,0.50646769621246
1.442249570307408,0.5821834830825093,0.5833988573059692,0.5827265677910977,0.5796143260403954,0.5732787045819046,0.5630768134151408,0.5494946443154849,0.5350181011548274,0.5229045949106309,0.5147180808959638,0.5099746198408742,0.5075449864764745,0.5065178239930914,0.5063595082376209,0.5067645986490583,0.507576280983063
2.124380638329711,0.6104000671977619,0.6044185835926494,0.5944027781219082,0.5797188718711496,0.5611697260949786,0.542082591095069,0.526594987728603,0.5164179108655216,0.5106625336190113,0.5077534068278664,0.5065330718934459,0.5063470401440155,0.5068601540965798,0.5079131666496596,0.5094095811347519,0.5112707827243942
3.129134644531897,0.6099969610897172,0.5877489349005074,0.5628205013833358,0.5404071543051321,0.5243259163027454,0.5146732354121184,0.5095185935727368,0.5070425367104536,0.5061233321990567,0.5062071856449767,0.5070431729653313,0.5085436361093629,0.5106559126524126,0.5133445316417055,0.5165062952048196,0.5200255195799637
4.609100387635,0.526236459376617,0.5151638590105955,0.5091108060926702,0.5059900039487508,0.5045081975581696,0.5040115735037201,0.5042263565255672,0.5050879752143292,0.5066419629672427,0.5089787114090562,0.5121800918176452,0.5162719174199503,0.5212218185753471,0.5268378267984517,0.5328421153601771,0.5389547222398559
6.789035563049437,0.5000113704229686,0.5000349903990381,0.5000992269579672,0.5002653808665177,0.5006604553370279,0.5015080932315612,0.5031260495469067,0.5059014832735212,0.5101785701945206,0.5161757849516135,0.5239127917667421,0.5331264967251501,0.5433894103409875,0.5539563514366901,0.5642017153866811,0.573475480886194
10,,,,,,,,,,,0.5166974989871085,0.5383646451405792,0.5614425575186046,0.5832856252778875,0.6023469129575153,0.6174095784730294
