tau_T,eta_kTe_10,eta_kTe_15,eta_kTe_20,eta_kTe_30,eta_kTe_50,eta_kTe_80,eta_kTe_120,eta_kTe_200
0.03,0.233924494402869,0.2532763845878664,0.2711790051031029,0.30648838667365325,0.3824592786879965,0.5205854251966694,0.6021310947915498,0.6110388560530811
0.05,0.3776380306685221,0.4094895114218213,0.43913079025903223,0.4980167157188636,0.5588961933968939,0.5805077915168696,0.5949729459682753,0.5929022734359832
0.08,0.49031156344682103,0.5077601347412098,0.5198274499672325,0.5367215777525949,0.5580980347782599,0.5766245886574783,0.5852848395877008,0.5714473278177926
0.13,0.4932469118239862,0.5102563003122842,0.5218944763354888,0.5378822713509873,0.5570186635829169,0.570790312920422,0.5712823396943305,0.5474602277033728
0.2,0.49765035226135473,0.5139898321793112,0.5249998355602926,0.5397077152049368,0.5558151518809296,0.5634883697717171,0.5553383682556474,0.5290389130020289
0.32,0.5057737504217343,0.5209381125085816,0.5308572026244487,0.5433606007339423,0.5543332936338986,0.5524845660092067,0.5360234796426044,0.5155931786777852
0.5,0.5188377939592878,0.5322220738044264,0.5404490173914687,0.5494467140420553,0.5521753637959067,0.5383593341280128,0.5202138919132084,0.5090982782745725
0.8,0.5409282794767577,0.5510701126245355,0.5560396250237982,0.5579213164337163,0.5449379660683416,0.5217177222635543,0.5102991273902835,0.5066177337847417
1.25,0.5710685200768242,0.5749588348517769,0.5731740103969879,0.5601167069356557,0.528361969605005,0.5107411794586051,0.5066853839454828,0.5069363316037339
2.0,0.6067190976947782,0.5940267063009873,0.5745710289792686,0.5380234273588997,0.5117268606846505,0.5064855949528783,0.5069395854809147,0.5104457214120051
3.2,0.6076751898101104,0.5584941379086992,0.5295304188074108,0.5108805965429397,0.5060268682960986,0.507781810856897,0.512220803852637,0.5207877076042519
5.0,0.5116665974204373,0.5045711242274351,0.5032030610825174,0.5034871412510987,0.507398433905907,0.5160117791768563,0.5275964270628588,0.5448325747807263
8.0,0.49999999999999234,0.4999999999999929,0.5000000000000251,0.5004981744950759,0.5098637444455157,0.5334236179975972,0.5610345868517951,0.5923847312035259
10.0,0.49999999999998895,0.4999999999999898,0.49999999999999045,0.4999999999999917,0.4999999999999957,0.5253262249934629,0.5713888283014176,0.6174095784730294
