tau_T,n_converged_kTe,eta_mean_over_kTe,eta_min_over_kTe,eta_max_over_kTe,eta_absolute_range_over_kTe,eta_relative_range_over_kTe
0.03,8,0.39763536568709856,0.233924494402869,0.6110388560530811,0.37711436165021206,0.9483924071959068
0.05,8,0.5064442815482826,0.3776380306685221,0.5949729459682753,0.21733491529975324,0.4291388474864896
0.08,8,0.5432594395936362,0.49031156344682103,0.5852848395877008,0.0949732761408798,0.17482121656628888
0.13,8,0.5387289379654736,0.4932469118239862,0.5712823396943305,0.07803542787034429,0.14485100459805905
0.2,8,0.5350035672645272,0.49765035226135473,0.5634883697717171,0.06583801751036239,0.123060894429157
0.32,8,0.5324205230315252,0.5057737504217343,0.5543332936338986,0.04855954321216427,0.09120524305801225
0.5,8,0.5326003084136173,0.5090982782745725,0.5521753637959067,0.04307708552133416,0.08088069954304364
0.8,8,0.5361914853832161,0.5066177337847417,0.5579213164337163,0.05130358264897461,0.09568145717999967
1.25,8,0.541505367109259,0.5066853839454828,0.5749588348517769,0.06827345090629411,0.1260808388119238
2.0,8,0.5436172528580479,0.5064855949528783,0.6067190976947782,0.1002335027418999,0.18438249009744617
3.2,8,0.5316746917098806,0.5060268682960986,0.6076751898101104,0.10164832151401182,0.19118517977056232
5.0,8,0.5148458923634797,0.5032030610825174,0.5448325747807263,0.041629513698208886,0.08085820303839304
8.0,5,0.5394409709987019,0.5004981744950759,0.5923847312035259,0.09188655670844992,0.1703366293041005
10.0,3,0.57137487725597,0.5253262249934629,0.6174095784730294,0.09208335347956642,0.16116101205183725
