tau_T,lambda_full_feedback,shape_iterations,shape_residual,input_energy,unscattered_up_energy,compton_up_energy,compton_down_energy,reflected_energy,absorbed_energy,coronal_gain_energy,last_scatter_order,last_difmax
1.0,0.5200273415388886,2,9.250676636357459e-10,1.0,0.21938045467705142,0.41705632129558357,0.5200273415388885,1.3801205793463066e-07,0.5200272035268306,0.15646411751152356,58,0.0027846894794739674
1.189207115,0.5808294823520752,2,5.459197247264442e-09,1.0,0.17032131827685604,0.4430010192838401,0.5808294823520752,2.8065521457742943e-07,0.5808292016968606,0.19415181991277142,64,0.002483693711585112
1.4142135624,0.6489541985080118,2,3.42672691148577e-08,1.0,0.12683327516038723,0.4687009641442612,0.6489541985080117,6.995095310243573e-07,0.6489534989984806,0.24448843781266016,70,0.0026495602267895446
1.6817928305,0.7276931043694257,2,2.230726512549305e-07,0.9999999999999999,0.08995869240996128,0.49691129318633553,0.7276931043694256,2.3799116935857307e-06,0.727690724457732,0.31456308996572246,77,0.0028320722678470125
2.0,0.8238332382065113,2,1.4826565960690644e-06,1.0,0.06027704244438084,0.534016960690976,0.8238332382065112,1.1223599937379022e-05,0.8238220146065739,0.41812724134186796,86,0.002690077012617668
2.37841423,0.9527609916630088,2,9.757606416461337e-06,1.0,0.037793611201435,0.5949199674898071,0.9527609916630086,6.72231341988178e-05,0.9526937685288098,0.5854745703542508,96,0.0028293376280924785
2.4837156241,0.9937973841743721,2,1.5553454013473096e-05,1.0,0.03324118420904665,0.6174388608575958,0.9937973841743721,0.00010802274042860538,0.9936893614339435,0.6444774292410145,99,0.0027937798199616382
2.4972019544,0.9992720233101063,3,1.970092209767347e-06,1.0,0.03270079147513406,0.6205544628746735,0.9992720233101064,0.00011566405410523046,0.9991563592560012,0.652527277659914,99,0.0028102074483601983
2.4988928865,0.9999626483847655,3,1.983696447117462e-06,1.0,0.03263366917424562,0.6209493600171596,0.9999626483847655,0.00011653263369018369,0.9998461157510753,0.6535456775761705,99,0.002825336186728824
2.5005849635,1.0006546068721485,3,1.997390078095536e-06,1.0,0.03256664442534431,0.6213454294309753,1.0006546068721485,0.00011740796221942794,1.000537198909929,0.654566680728468,99,0.0028405275627716694
2.5039725557,1.0020425436475913,3,2.025042026605303e-06,1.0000000000000002,0.03243288734614562,0.6221411040898082,1.0020425436475915,0.00011917908162386636,1.0019233645659675,0.6566165350835449,99,0.002871098788701468
2.510761514,1.0048346165782291,3,1.998770835042175e-06,0.9999999999999998,0.03216654181033231,0.6237467191203544,1.0048346165782291,0.00012281024286163038,1.0047118063353675,0.6607478775089162,99,0.002932312418082174
2.5381019144,1.016225882541391,3,2.327786882234415e-06,0.9999999999999999,0.031116660289810097,0.630366103455784,1.0162258825413908,0.0001385547002659235,1.0160873278411249,0.6777086462869849,100,0.0028535861083491764
2.5936791093,1.0401476937218348,3,2.916291317914564e-06,1.0,0.029090494888290647,0.6446172624348955,1.0401476937218348,0.00017665465038878807,1.039971039071446,0.713855451045021,102,0.002714247123756683
2.8284271247,1.1551268497808074,3,6.8319395252575055e-06,0.9999999999999999,0.021927750658280173,0.7191151804619856,1.1551268497808072,0.0004760785069257494,1.1546507712738814,0.896169780901073,108,0.0029009561665324984
3.363585661,1.5669544369940107,4,2.859798389825531e-06,1.0000000000000002,0.011624702931962622,1.039502777559858,1.566954436994011,0.0038387372860845545,1.5631156997079263,1.6180819174858312,124,0.002853088343004057
4.0,2.8337318991126277,5,1.93035118012708e-07,1.0,0.005570196014685603,2.1939605341034847,2.8337318991126277,0.03706769690491244,2.7966642022077153,4.033262629230798,145,0.002893481317396964
